omega,tau,firm,demand
1,0.585859,2,0.356457
1,0.59596,1,0.349945
1,0.59596,2,0.350514
1,0.606061,1,0.352408
1,0.606061,2,0.355747
1,0.616162,1,0.353003
1,0.616162,2,0.354207
1,0.626263,1,0.356037
1,0.626263,2,0.354021
1,0.636364,1,0.359137
1,0.636364,2,0.346456
1,0.646465,1,0.349044
1,0.646465,2,0.353168
1,0.656566,1,0.352465
1,0.656566,2,0.354219
1,0.666667,1,0.353043
1,0.666667,2,0.356902
1,0.676768,1,0.353887
1,0.676768,2,0.35118
1,0.686869,1,0.359404
1,0.686869,2,0.353021
1,0.69697,1,0.354851
1,0.69697,2,0.355612
1,0.707071,1,0.36165
1,0.707071,2,0.348704
1,0.717172,1,0.358788
1,0.717172,2,0.352824
1,0.727273,1,0.356497
1,0.727273,2,0.354442
1,0.737374,1,0.354169
1,0.737374,2,0.359701
1,0.747475,1,0.359142
1,0.747475,2,0.357134
1,0.757576,1,0.356938
1,0.757576,2,0.352383
1,0.767677,1,0.347932
1,0.767677,2,0.362627
1,0.777778,1,0.358611
1,0.777778,2,0.352888
1,0.787879,1,0.360147
1,0.787879,2,0.353096
1,0.79798,1,0.360371
1,0.79798,2,0.356863
1,0.808081,1,0.355806
1,0.808081,2,0.357436
1,0.818182,1,0.35468
1,0.818182,2,0.356252
1,0.828283,1,0.359199
1,0.828283,2,0.355426
1,0.838384,1,0.355192
1,0.838384,2,0.358941
1,0.848485,1,0.351994
1,0.848485,2,0.359252
1,0.858586,1,0.353478
1,0.858586,2,0.36005
1,0.868687,1,0.357922
1,0.868687,2,0.356247
1,0.878788,1,0.353242
1,0.878788,2,0.356989
1,0.888889,1,0.356197
1,0.888889,2,0.356308
1,0.89899,1,0.352519
1,0.89899,2,0.357335
1,0.909091,1,0.350674
1,0.909091,2,0.363507
1,0.919192,1,0.358894
1,0.919192,2,0.355596
1,0.929293,1,0.360431
1,0.929293,2,0.361173
1,0.939394,1,0.353282
1,0.939394,2,0.360502
1,0.949495,1,0.35739
1,0.949495,2,0.363757
1,0.959596,1,0.35595
1,0.959596,2,0.352578
1,0.969697,1,0.358585
1,0.969697,2,0.350889
1,0.979798,1,0.349374
1,0.979798,2,0.357335
1,0.989899,1,0.356615
1,0.989899,2,0.353738
1,1,1,0.35318
1,1,2,0.355718
