omega,tau,action,Count
0.8,0.484848,3,0.0363533
0.8,0.484848,4,0.0852756
0.8,0.494949,1,0.0488846
0.8,0.494949,2,0.861261
0.8,0.494949,3,0.0436317
0.8,0.494949,4,0.0462229
0.8,0.505051,1,0.0846002
0.8,0.505051,2,0.781641
0.8,0.505051,3,0.0484236
0.8,0.505051,4,0.0853348
0.8,0.515152,1,0.0977842
0.8,0.515152,2,0.767857
0.8,0.515152,3,0.0411898
0.8,0.515152,4,0.0931689
0.8,0.525253,1,0.0881789
0.8,0.525253,2,0.778546
0.8,0.525253,3,0.0449804
0.8,0.525253,4,0.0882945
0.8,0.535354,1,0.0477252
0.8,0.535354,2,0.87428
0.8,0.535354,3,0.0289883
0.8,0.535354,4,0.0490066
0.8,0.545455,1,0.0564147
0.8,0.545455,2,0.856556
0.8,0.545455,3,0.0318015
0.8,0.545455,4,0.0552278
0.8,0.555556,1,0.0714911
0.8,0.555556,2,0.81728
0.8,0.555556,3,0.0399991
0.8,0.555556,4,0.0712297
0.8,0.565657,1,0.0728022
0.8,0.565657,2,0.823297
0.8,0.565657,3,0.0309176
0.8,0.565657,4,0.0729827
0.8,0.575758,1,0.0595996
0.8,0.575758,2,0.869833
0.8,0.575758,3,0.0100228
0.8,0.575758,4,0.060545
0.8,0.585859,1,0.0719908
0.8,0.585859,2,0.822637
0.8,0.585859,3,0.0370468
0.8,0.585859,4,0.0683258
0.8,0.59596,1,0.054306
0.8,0.59596,2,0.875652
0.8,0.59596,3,0.012311
0.8,0.59596,4,0.0577311
0.8,0.606061,1,0.0842119
0.8,0.606061,2,0.813835
0.8,0.606061,3,0.0209269
0.8,0.606061,4,0.0810264
0.8,0.616162,1,0.0626984
0.8,0.616162,2,0.850639
0.8,0.616162,3,0.0234554
0.8,0.616162,4,0.0632073
0.8,0.626263,1,0.0937397
0.8,0.626263,2,0.788943
0.8,0.626263,3,0.0235587
0.8,0.626263,4,0.093759
0.8,0.636364,1,0.0710915
0.8,0.636364,2,0.817575
0.8,0.636364,3,0.0400753
0.8,0.636364,4,0.0712587
0.8,0.646465,1,0.0730773
0.8,0.646465,2,0.827935
0.8,0.646465,3,0.0259827
0.8,0.646465,4,0.073005
0.8,0.656566,1,0.0732353
0.8,0.656566,2,0.832963
0.8,0.656566,3,0.019337
0.8,0.656566,4,0.0744646
0.8,0.666667,1,0.0802379
0.8,0.666667,2,0.802904
0.8,0.666667,3,0.0366187
0.8,0.666667,4,0.0802396
0.8,0.676768,1,0.0603367
0.8,0.676768,2,0.858209
0.8,0.676768,3,0.0231186
0.8,0.676768,4,0.0583357
0.8,0.686869,1,0.0948921
0.8,0.686869,2,0.800089
0.8,0.686869,3,0.0101314
0.8,0.686869,4,0.0948876
0.8,0.69697,1,0.0733883
0.8,0.69697,2,0.832304
0.8,0.69697,3,0.0202634
0.8,0.69697,4,0.0740439
0.8,0.707071,1,0.0622825
0.8,0.707071,2,0.849359
0.8,0.707071,3,0.0260801
0.8,0.707071,4,0.0622782
0.8,0.717172,1,0.0811824
0.8,0.717172,2,0.82458
0.8,0.717172,3,0.0136367
0.8,0.717172,4,0.0806009
0.8,0.727273,1,0.0587294
0.8,0.727273,2,0.878501
0.8,0.727273,3,0.0020471
0.8,0.727273,4,0.0607229
0.8,0.737374,1,0.0796867
0.8,0.737374,2,0.833158
0.8,0.737374,3,0.0074657
0.8,0.737374,4,0.0796901
0.8,0.747475,1,0.0532055
0.8,0.747475,2,0.871739
0.8,0.747475,3,0.02285
0.8,0.747475,4,0.0522051
0.8,0.757576,1,0.0895645
0.8,0.757576,2,0.800019
0.8,0.757576,3,0.0191885
0.8,0.757576,4,0.0912277
0.8,0.767677,1,0.0745051
0.8,0.767677,2,0.839687
0.8,0.767677,3,0.0124959
0.8,0.767677,4,0.0733121
0.8,0.777778,1,0.0900309
0.8,0.777778,2,0.812455
0.8,0.777778,3,0.0076512
0.8,0.777778,4,0.0898631
0.8,0.787879,1,0.0897631
0.8,0.787879,2,0.808128
0.8,0.787879,3,0.0109173
