omega,a,firm,profit
1,1.42424,1,0.137298
1,1.42424,2,0.137829
1,1.43434,1,0.137412
1,1.43434,2,0.13785
1,1.44444,1,0.137125
1,1.44444,2,0.137435
1,1.45455,1,0.137666
1,1.45455,2,0.137249
1,1.46465,1,0.136809
1,1.46465,2,0.136458
1,1.47475,1,0.136965
1,1.47475,2,0.137419
1,1.48485,1,0.137391
1,1.48485,2,0.137167
1,1.49495,1,0.136718
1,1.49495,2,0.13699
1,1.50505,1,0.136084
1,1.50505,2,0.136685
1,1.51515,1,0.136272
1,1.51515,2,0.136034
1,1.52525,1,0.137892
1,1.52525,2,0.136995
1,1.53535,1,0.137257
1,1.53535,2,0.136112
1,1.54545,1,0.137244
1,1.54545,2,0.136239
1,1.55556,1,0.136025
1,1.55556,2,0.136268
1,1.56566,1,0.136075
1,1.56566,2,0.136542
1,1.57576,1,0.137092
1,1.57576,2,0.136716
1,1.58586,1,0.137398
1,1.58586,2,0.137245
1,1.59596,1,0.136939
1,1.59596,2,0.136881
1,1.60606,1,0.136744
1,1.60606,2,0.136556
1,1.61616,1,0.135865
1,1.61616,2,0.136102
1,1.62626,1,0.137071
1,1.62626,2,0.137985
1,1.63636,1,0.135947
1,1.63636,2,0.13538
1,1.64646,1,0.136536
1,1.64646,2,0.136137
1,1.65657,1,0.136012
1,1.65657,2,0.137042
1,1.66667,1,0.136235
1,1.66667,2,0.135307
1,1.67677,1,0.135855
1,1.67677,2,0.135215
1,1.68687,1,0.134658
1,1.68687,2,0.135702
1,1.69697,1,0.136195
1,1.69697,2,0.13568
1,1.70707,1,0.135433
1,1.70707,2,0.135796
1,1.71717,1,0.135755
1,1.71717,2,0.13505
1,1.72727,1,0.135217
1,1.72727,2,0.135345
1,1.73737,1,0.133511
1,1.73737,2,0.13535
1,1.74747,1,0.136035
1,1.74747,2,0.135653
1,1.75758,1,0.134284
1,1.75758,2,0.134648
1,1.76768,1,0.135184
1,1.76768,2,0.134582
1,1.77778,1,0.136196
1,1.77778,2,0.136031
1,1.78788,1,0.135887
1,1.78788,2,0.136681
1,1.79798,1,0.136109
1,1.79798,2,0.135862
1,1.80808,1,0.134909
1,1.80808,2,0.135111
1,1.81818,1,0.135964
1,1.81818,2,0.135724
1,1.82828,1,0.134528
1,1.82828,2,0.134435
1,1.83838,1,0.134679
1,1.83838,2,0.134881
1,1.84848,1,0.135927
1,1.84848,2,0.135676
1,1.85859,1,0.13622
1,1.85859,2,0.135624
1,1.86869,1,0.13516
1,1.86869,2,0.135195
1,1.87879,1,0.134778
1,1.87879,2,0.13466
1,1.88889,1,0.134336
1,1.88889,2,0.136423
1,1.89899,1,0.135488
1,1.89899,2,0.134284
1,1.90909,1,0.135761
1,1.90909,2,0.135734
1,1.91919,1,0.135889
1,1.91919,2,0.135231
1,1.92929,1,0.136265
1,1.92929,2,0.135502
1,1.93939,1,0.136086
1,1.93939,2,0.135142
1,1.94949,1,0.135178
1,1.94949,2,0.135767
1,1.9596,1,0.135541
1,1.9596,2,0.134343
1,1.9697,1,0.136343
1,1.9697,2,0.135473
1,1.9798,1,0.136722
1,1.9798,2,0.136461
1,1.9899,1,0.137437
1,1.9899,2,0.137958
1,2,1,0.139903
1,2,2,0.137918
