omega,a,action,Count
0.8,1.16162,1,0.0019437
0.8,1.16162,2,0.995347
0.8,1.16162,3,0.0007505
0.8,1.16162,4,0.0019588
0.8,1.17172,1,0.0017181
0.8,1.17172,2,0.995723
0.8,1.17172,3,0.0009277
0.8,1.17172,4,0.001631
0.8,1.18182,1,0.0018746
0.8,1.18182,2,0.995295
0.8,1.18182,3,0.0009804
0.8,1.18182,4,0.0018504
0.8,1.19192,1,0.0021202
0.8,1.19192,2,0.994149
0.8,1.19192,3,0.0014904
0.8,1.19192,4,0.0022405
0.8,1.20202,1,0.0023569
0.8,1.20202,2,0.993768
0.8,1.20202,3,0.0014322
0.8,1.20202,4,0.0024432
0.8,1.21212,1,0.0026131
0.8,1.21212,2,0.993776
0.8,1.21212,3,0.0011415
0.8,1.21212,4,0.0024698
0.8,1.22222,1,0.001864
0.8,1.22222,2,0.995319
0.8,1.22222,3,0.0009529
0.8,1.22222,4,0.0018646
0.8,1.23232,1,0.0019627
0.8,1.23232,2,0.994964
0.8,1.23232,3,0.0010584
0.8,1.23232,4,0.0020153
0.8,1.24242,1,0.0022826
0.8,1.24242,2,0.994429
0.8,1.24242,3,0.0010972
0.8,1.24242,4,0.0021913
0.8,1.25253,1,0.0023916
0.8,1.25253,2,0.994492
0.8,1.25253,3,0.0009384
0.8,1.25253,4,0.0021778
0.8,1.26263,1,0.0015801
0.8,1.26263,2,0.995919
0.8,1.26263,3,0.0008812
0.8,1.26263,4,0.0016197
0.8,1.27273,1,0.0020215
0.8,1.27273,2,0.994509
0.8,1.27273,3,0.0014425
0.8,1.27273,4,0.0020268
0.8,1.28283,1,0.0020113
0.8,1.28283,2,0.994581
0.8,1.28283,3,0.0010019
0.8,1.28283,4,0.0024054
0.8,1.29293,1,0.001941
0.8,1.29293,2,0.995112
0.8,1.29293,3,0.0008845
0.8,1.29293,4,0.0020622
0.8,1.30303,1,0.0021963
0.8,1.30303,2,0.994383
0.8,1.30303,3,0.0012604
0.8,1.30303,4,0.0021606
0.8,1.31313,1,0.0019041
0.8,1.31313,2,0.995046
0.8,1.31313,3,0.0008492
0.8,1.31313,4,0.0022012
0.8,1.32323,1,0.0018666
0.8,1.32323,2,0.995238
0.8,1.32323,3,0.001037
0.8,1.32323,4,0.0018582
0.8,1.33333,1,0.002343
0.8,1.33333,2,0.992875
0.8,1.33333,3,0.0010205
0.8,1.33333,4,0.0037614
0.8,1.34343,1,0.0018102
0.8,1.34343,2,0.995747
0.8,1.34343,3,0.0007922
0.8,1.34343,4,0.0016508
0.8,1.35354,1,0.0021645
0.8,1.35354,2,0.995071
0.8,1.35354,3,0.0009356
0.8,1.35354,4,0.001829
0.8,1.36364,1,0.0039912
0.8,1.36364,2,0.992673
0.8,1.36364,3,0.0010294
0.8,1.36364,4,0.0023065
0.8,1.37374,1,0.0022204
0.8,1.37374,2,0.994312
0.8,1.37374,3,0.0012145
0.8,1.37374,4,0.0022533
0.8,1.38384,1,0.0034028
0.8,1.38384,2,0.992235
0.8,1.38384,3,0.001174
0.8,1.38384,4,0.0031882
0.8,1.39394,1,0.0032634
0.8,1.39394,2,0.989487
0.8,1.39394,3,0.0021487
0.8,1.39394,4,0.0051009
0.8,1.40404,1,0.002671
0.8,1.40404,2,0.993401
0.8,1.40404,3,0.0013641
0.8,1.40404,4,0.0025635
0.8,1.41414,1,0.0040452
0.8,1.41414,2,0.9909
0.8,1.41414,3,0.0016091
0.8,1.41414,4,0.0034453
0.8,1.42424,1,0.0023709
0.8,1.42424,2,0.993742
0.8,1.42424,3,0.0012608
0.8,1.42424,4,0.0026268
0.8,1.43434,1,0.0020856
0.8,1.43434,2,0.994571
0.8,1.43434,3,0.0012098
0.8,1.43434,4,0.0021334
0.8,1.44444,1,0.0021011
0.8,1.44444,2,0.994581
0.8,1.44444,3,0.0011957
0.8,1.44444,4,0.0021224
0.8,1.45455,1,0.0016264
0.8,1.45455,2,0.996024
0.8,1.45455,3,0.0008086
0.8,1.45455,4,0.0015412
0.8,1.46465,1,0.0025821
0.8,1.46465,2,0.993867
0.8,1.46465,3,0.0012219
0.8,1.46465,4,0.002329
0.8,1.47475,1,0.0015706
0.8,1.47475,2,0.99593
0.8,1.47475,3,0.0007972
0.8,1.47475,4,0.0017018
0.8,1.48485,1,0.001694
0.8,1.48485,2,0.995332
0.8,1.48485,3,0.0012289
0.8,1.48485,4,0.0017448
