omega,alpha,beta,cs
1,0.0662162,5.67568e-06,0.308852
1,0.0662162,5.81081e-06,0.314761
1,0.0662162,5.94595e-06,0.309553
1,0.0662162,6.08108e-06,0.312642
1,0.0662162,6.21622e-06,0.315944
1,0.0662162,6.35135e-06,0.310258
1,0.0662162,6.48649e-06,0.312158
1,0.0662162,6.62162e-06,0.314091
1,0.0662162,6.75676e-06,0.314601
1,0.0662162,6.89189e-06,0.313266
1,0.0662162,7.02703e-06,0.309204
1,0.0662162,7.16216e-06,0.316429
1,0.0662162,7.2973e-06,0.316515
1,0.0662162,7.43243e-06,0.313385
1,0.0662162,7.56757e-06,0.311682
1,0.0662162,7.7027e-06,0.315157
1,0.0662162,7.83784e-06,0.317334
1,0.0662162,7.97297e-06,0.314977
1,0.0662162,8.10811e-06,0.312038
1,0.0662162,8.24324e-06,0.318799
1,0.0662162,8.37838e-06,0.320913
1,0.0662162,8.51351e-06,0.319616
1,0.0662162,8.64865e-06,0.322137
1,0.0662162,8.78378e-06,0.317085
1,0.0662162,8.91892e-06,0.318279
1,0.0662162,9.05405e-06,0.317888
1,0.0662162,9.18919e-06,0.316884
1,0.0662162,9.32432e-06,0.316919
1,0.0662162,9.45946e-06,0.323067
1,0.0662162,9.59459e-06,0.319308
1,0.0662162,9.72973e-06,0.320611
1,0.0662162,9.86486e-06,0.319837
1,0.0662162,1e-05,0.320686
1,0.0662162,1.01351e-05,0.317813
1,0.0662162,1.02703e-05,0.322047
1,0.0662162,1.04054e-05,0.312569
1,0.0662162,1.05405e-05,0.319574
1,0.0662162,1.06757e-05,0.31951
1,0.0662162,1.08108e-05,0.320447
1,0.0662162,1.09459e-05,0.321102
1,0.0662162,1.10811e-05,0.319383
1,0.0662162,1.12162e-05,0.318758
1,0.0662162,1.13514e-05,0.320619
1,0.0662162,1.14865e-05,0.318491
1,0.0662162,1.16216e-05,0.321845
1,0.0662162,1.17568e-05,0.325328
1,0.0662162,1.18919e-05,0.316615
1,0.0662162,1.2027e-05,0.321205
1,0.0662162,1.21622e-05,0.317919
1,0.0662162,1.22973e-05,0.322113
1,0.0662162,1.24324e-05,0.31914
1,0.0662162,1.25676e-05,0.316604
1,0.0662162,1.27027e-05,0.322435
1,0.0662162,1.28378e-05,0.319365
1,0.0662162,1.2973e-05,0.318864
1,0.0662162,1.31081e-05,0.32108
1,0.0662162,1.32432e-05,0.31962
1,0.0662162,1.33784e-05,0.322649
1,0.0662162,1.35135e-05,0.317397
1,0.0662162,1.36486e-05,0.317866
1,0.0662162,1.37838e-05,0.320365
1,0.0662162,1.39189e-05,0.318082
1,0.0662162,1.40541e-05,0.322234
1,0.0662162,1.41892e-05,0.321324
1,0.0662162,1.43243e-05,0.321205
1,0.0662162,1.44595e-05,0.319863
1,0.0662162,1.45946e-05,0.317831
1,0.0662162,1.47297e-05,0.318951
1,0.0662162,1.48649e-05,0.320248
1,0.0662162,1.5e-05,0.317131
1,0.0689189,5e-06,0.308505
1,0.0689189,5.13514e-06,0.309258
1,0.0689189,5.27027e-06,0.309459
1,0.0689189,5.40541e-06,0.312407
1,0.0689189,5.54054e-06,0.310921
1,0.0689189,5.67568e-06,0.312349
1,0.0689189,5.81081e-06,0.312135
1,0.0689189,5.94595e-06,0.307209
1,0.0689189,6.08108e-06,0.316281
1,0.0689189,6.21622e-06,0.310759
1,0.0689189,6.35135e-06,0.314398
1,0.0689189,6.48649e-06,0.30891
1,0.0689189,6.62162e-06,0.313313
1,0.0689189,6.75676e-06,0.312479
1,0.0689189,6.89189e-06,0.31411
1,0.0689189,7.02703e-06,0.312674
1,0.0689189,7.16216e-06,0.31512
1,0.0689189,7.2973e-06,0.314891
1,0.0689189,7.43243e-06,0.317742
1,0.0689189,7.56757e-06,0.317855
1,0.0689189,7.7027e-06,0.31392
1,0.0689189,7.83784e-06,0.320869
1,0.0689189,7.97297e-06,0.320495
1,0.0689189,8.10811e-06,0.318405
1,0.0689189,8.24324e-06,0.312701
1,0.0689189,8.37838e-06,0.315589
1,0.0689189,8.51351e-06,0.315911
1,0.0689189,8.64865e-06,0.313697
1,0.0689189,8.78378e-06,0.31595
1,0.0689189,8.91892e-06,0.320488
1,0.0689189,9.05405e-06,0.316356
1,0.0689189,9.18919e-06,0.313293
1,0.0689189,9.32432e-06,0.321293
1,0.0689189,9.45946e-06,0.314607
1,0.0689189,9.59459e-06,0.314438
1,0.0689189,9.72973e-06,0.320894
1,0.0689189,9.86486e-06,0.324414
1,0.0689189,1e-05,0.315788
1,0.0689189,1.01351e-05,0.319624
1,0.0689189,1.02703e-05,0.316858
1,0.0689189,1.04054e-05,0.319546
1,0.0689189,1.05405e-05,0.32117
1,0.0689189,1.06757e-05,0.317507
1,0.0689189,1.08108e-05,0.315747
1,0.0689189,1.09459e-05,0.319183
1,0.0689189,1.10811e-05,0.320257
1,0.0689189,1.12162e-05,0.320067
1,0.0689189,1.13514e-05,0.320816
1,0.0689189,1.14865e-05,0.318656
1,0.0689189,1.16216e-05,0.323755
1,0.0689189,1.17568e-05,0.320787
1,0.0689189,1.18919e-05,0.317441
1,0.0689189,1.2027e-05,0.319781
1,0.0689189,1.21622e-05,0.319566
1,0.0689189,1.22973e-05,0.319069
1,0.0689189,1.24324e-05,0.31836
1,0.0689189,1.25676e-05,0.321269
1,0.0689189,1.27027e-05,0.32232
1,0.0689189,1.28378e-05,0.322302
1,0.0689189,1.2973e-05,0.321713
1,0.0689189,1.31081e-05,0.31806
1,0.0689189,1.32432e-05,0.320391
1,0.0689189,1.33784e-05,0.319517
1,0.0689189,1.35135e-05,0.317311
1,0.0689189,1.36486e-05,0.316415
1,0.0689189,1.37838e-05,0.323565
1,0.0689189,1.39189e-05,0.31988
1,0.0689189,1.40541e-05,0.317946
1,0.0689189,1.41892e-05,0.320787
1,0.0689189,1.43243e-05,0.322869
1,0.0689189,1.44595e-05,0.325661
1,0.0689189,1.45946e-05,0.319655
1,0.0689189,1.47297e-05,0.321859
1,0.0689189,1.48649e-05,0.317353
1,0.0689189,1.5e-05,0.321202
1,0.0716216,5e-06,0.308481
1,0.0716216,5.13514e-06,0.310303
1,0.0716216,5.27027e-06,0.302419
1,0.0716216,5.40541e-06,0.312918
1,0.0716216,5.54054e-06,0.312618
1,0.0716216,5.67568e-06,0.307212
1,0.0716216,5.81081e-06,0.311805
1,0.0716216,5.94595e-06,0.308536
1,0.0716216,6.08108e-06,0.307564
1,0.0716216,6.21622e-06,0.312033
1,0.0716216,6.35135e-06,0.313139
1,0.0716216,6.48649e-06,0.313062
1,0.0716216,6.62162e-06,0.310305
1,0.0716216,6.75676e-06,0.31662
1,0.0716216,6.89189e-06,0.315353
1,0.0716216,7.02703e-06,0.312444
1,0.0716216,7.16216e-06,0.317068
1,0.0716216,7.2973e-06,0.319377
1,0.0716216,7.43243e-06,0.309289
1,0.0716216,7.56757e-06,0.318585
1,0.0716216,7.7027e-06,0.317866
1,0.0716216,7.83784e-06,0.321219
1,0.0716216,7.97297e-06,0.318443
1,0.0716216,8.10811e-06,0.314332
1,0.0716216,8.24324e-06,0.312787
1,0.0716216,8.37838e-06,0.316358
1,0.0716216,8.51351e-06,0.323209
1,0.0716216,8.64865e-06,0.314605
1,0.0716216,8.78378e-06,0.314423
1,0.0716216,8.91892e-06,0.315541
1,0.0716216,9.05405e-06,0.319992
1,0.0716216,9.18919e-06,0.319118
1,0.0716216,9.32432e-06,0.31925
1,0.0716216,9.45946e-06,0.319027
1,0.0716216,9.59459e-06,0.319299
1,0.0716216,9.72973e-06,0.318611
1,0.0716216,9.86486e-06,0.315411
1,0.0716216,1e-05,0.320811
1,0.0716216,1.01351e-05,0.319849
1,0.0716216,1.02703e-05,0.320616
1,0.0716216,1.04054e-05,0.320936
1,0.0716216,1.05405e-05,0.319711
1,0.0716216,1.06757e-05,0.317
1,0.0716216,1.08108e-05,0.319836
1,0.0716216,1.09459e-05,0.322636
1,0.0716216,1.10811e-05,0.320808
1,0.0716216,1.12162e-05,0.323547
1,0.0716216,1.13514e-05,0.320116
1,0.0716216,1.14865e-05,0.320175
1,0.0716216,1.16216e-05,0.318887
1,0.0716216,1.17568e-05,0.322355
1,0.0716216,1.18919e-05,0.320737
1,0.0716216,1.2027e-05,0.318876
1,0.0716216,1.21622e-05,0.323132
1,0.0716216,1.22973e-05,0.313617
1,0.0716216,1.24324e-05,0.318567
1,0.0716216,1.25676e-05,0.319975
1,0.0716216,1.27027e-05,0.317521
1,0.0716216,1.28378e-05,0.319197
1,0.0716216,1.2973e-05,0.320744
1,0.0716216,1.31081e-05,0.3154
1,0.0716216,1.32432e-05,0.320452
1,0.0716216,1.33784e-05,0.315471
1,0.0716216,1.35135e-05,0.322072
1,0.0716216,1.36486e-05,0.323531
1,0.0716216,1.37838e-05,0.324609
1,0.0716216,1.39189e-05,0.325369
1,0.0716216,1.40541e-05,0.325372
1,0.0716216,1.41892e-05,0.320583
1,0.0716216,1.43243e-05,0.322076
1,0.0716216,1.44595e-05,0.319325
1,0.0716216,1.45946e-05,0.321891
1,0.0716216,1.47297e-05,0.32077
