omega,gamma,beta,firm,profit
1,0.0949521,1.44343e-05,1,0.134355
1,0.0949521,1.44343e-05,2,0.135279
1,0.0949521,1.46262e-05,1,0.134745
1,0.0949521,1.46262e-05,2,0.134912
1,0.0949521,1.48182e-05,1,0.136012
1,0.0949521,1.48182e-05,2,0.135216
1,0.0949521,1.50101e-05,1,0.134475
1,0.0949521,1.50101e-05,2,0.135828
1,0.0949521,1.5202e-05,1,0.135346
1,0.0949521,1.5202e-05,2,0.134835
1,0.0978812,5.798e-06,1,0.136039
1,0.0978812,5.798e-06,2,0.136246
1,0.0978812,5.98992e-06,1,0.135413
1,0.0978812,5.98992e-06,2,0.135813
1,0.0978812,6.18184e-06,1,0.135618
1,0.0978812,6.18184e-06,2,0.13585
1,0.0978812,6.37376e-06,1,0.137627
1,0.0978812,6.37376e-06,2,0.136391
1,0.0978812,6.56567e-06,1,0.13519
1,0.0978812,6.56567e-06,2,0.136515
1,0.0978812,6.75759e-06,1,0.136875
1,0.0978812,6.75759e-06,2,0.136457
1,0.0978812,6.94951e-06,1,0.135028
1,0.0978812,6.94951e-06,2,0.133758
1,0.0978812,7.14143e-06,1,0.135208
1,0.0978812,7.14143e-06,2,0.135322
1,0.0978812,7.33335e-06,1,0.135836
1,0.0978812,7.33335e-06,2,0.136946
1,0.0978812,7.52527e-06,1,0.135256
1,0.0978812,7.52527e-06,2,0.135826
1,0.0978812,7.71718e-06,1,0.136008
1,0.0978812,7.71718e-06,2,0.135082
1,0.0978812,7.9091e-06,1,0.134414
1,0.0978812,7.9091e-06,2,0.13444
1,0.0978812,8.10102e-06,1,0.136476
1,0.0978812,8.10102e-06,2,0.136722
1,0.0978812,8.29294e-06,1,0.135955
1,0.0978812,8.29294e-06,2,0.136841
1,0.0978812,8.48486e-06,1,0.134886
1,0.0978812,8.48486e-06,2,0.135055
1,0.0978812,8.67678e-06,1,0.135855
1,0.0978812,8.67678e-06,2,0.13531
1,0.0978812,8.86869e-06,1,0.135135
1,0.0978812,8.86869e-06,2,0.135696
1,0.0978812,9.06061e-06,1,0.135025
1,0.0978812,9.06061e-06,2,0.135498
1,0.0978812,9.25253e-06,1,0.135867
1,0.0978812,9.25253e-06,2,0.135181
1,0.0978812,9.44445e-06,1,0.13588
1,0.0978812,9.44445e-06,2,0.136102
1,0.0978812,9.63637e-06,1,0.134362
1,0.0978812,9.63637e-06,2,0.134442
1,0.0978812,9.82829e-06,1,0.135879
1,0.0978812,9.82829e-06,2,0.135126
1,0.0978812,1.00202e-05,1,0.135038
1,0.0978812,1.00202e-05,2,0.134492
1,0.0978812,1.02121e-05,1,0.135966
1,0.0978812,1.02121e-05,2,0.13683
1,0.0978812,1.0404e-05,1,0.136516
1,0.0978812,1.0404e-05,2,0.135052
1,0.0978812,1.0596e-05,1,0.135832
1,0.0978812,1.0596e-05,2,0.134991
1,0.0978812,1.07879e-05,1,0.1354
1,0.0978812,1.07879e-05,2,0.135718
1,0.0978812,1.09798e-05,1,0.134656
1,0.0978812,1.09798e-05,2,0.135095
1,0.0978812,1.11717e-05,1,0.134387
1,0.0978812,1.11717e-05,2,0.134339
1,0.0978812,1.13636e-05,1,0.133479
