omega,c,action,Count
0.8,0.10101,2,0.880896
0.8,0.10101,3,0.0029059
0.8,0.10101,4,0.0580986
0.8,0.106061,1,0.0842383
0.8,0.106061,2,0.812769
0.8,0.106061,3,0.0205232
0.8,0.106061,4,0.0824693
0.8,0.111111,1,0.0840717
0.8,0.111111,2,0.82134
0.8,0.111111,3,0.0085146
0.8,0.111111,4,0.086074
0.8,0.116162,1,0.0576531
0.8,0.116162,2,0.876408
0.8,0.116162,3,0.0082775
0.8,0.116162,4,0.057661
0.8,0.121212,1,0.0585796
0.8,0.121212,2,0.873244
0.8,0.121212,3,0.0126821
0.8,0.121212,4,0.0554938
0.8,0.126263,1,0.0795968
0.8,0.126263,2,0.831202
0.8,0.126263,3,0.0083579
0.8,0.126263,4,0.0808438
0.8,0.131313,1,0.0514755
0.8,0.131313,2,0.876583
0.8,0.131313,3,0.0231993
0.8,0.131313,4,0.0487418
0.8,0.136364,1,0.0892794
0.8,0.136364,2,0.815571
0.8,0.136364,3,0.0073005
0.8,0.136364,4,0.0878494
0.8,0.141414,1,0.0731063
0.8,0.141414,2,0.833131
0.8,0.141414,3,0.0188309
0.8,0.141414,4,0.0749316
0.8,0.146465,1,0.0919042
0.8,0.146465,2,0.811512
0.8,0.146465,3,0.0046268
0.8,0.146465,4,0.0919566
0.8,0.151515,1,0.0764502
0.8,0.151515,2,0.835357
0.8,0.151515,3,0.0118233
0.8,0.151515,4,0.0763696
0.8,0.156566,1,0.0659267
0.8,0.156566,2,0.853147
0.8,0.156566,3,0.0120073
0.8,0.156566,4,0.0689189
0.8,0.161616,1,0.0780252
0.8,0.161616,2,0.83902
0.8,0.161616,3,0.0049257
0.8,0.161616,4,0.0780287
0.8,0.166667,1,0.0554338
0.8,0.166667,2,0.872897
0.8,0.166667,3,0.0162339
0.8,0.166667,4,0.0554355
0.8,0.171717,1,0.0394144
0.8,0.171717,2,0.905248
0.8,0.171717,3,0.0159292
0.8,0.171717,4,0.0394084
0.8,0.176768,1,0.0835105
0.8,0.176768,2,0.830163
0.8,0.176768,3,0.0035402
0.8,0.176768,4,0.082786
0.8,0.181818,1,0.0530385
0.8,0.181818,2,0.870399
0.8,0.181818,3,0.0235347
0.8,0.181818,4,0.0530278
0.8,0.186869,1,0.0761776
0.8,0.186869,2,0.833196
0.8,0.186869,3,0.0133556
0.8,0.186869,4,0.0772706
0.8,0.191919,1,0.0644429
0.8,0.191919,2,0.859721
0.8,0.191919,3,0.0113048
0.8,0.191919,4,0.0645308
0.8,0.19697,1,0.103597
0.8,0.19697,2,0.779273
0.8,0.19697,3,0.0135358
0.8,0.19697,4,0.103594
0.8,0.20202,1,0.0984337
0.8,0.20202,2,0.786426
0.8,0.20202,3,0.0166972
0.8,0.20202,4,0.0984428
0.8,0.207071,1,0.065622
0.8,0.207071,2,0.841935
0.8,0.207071,3,0.0244737
0.8,0.207071,4,0.0679696
0.8,0.212121,1,0.0549388
0.8,0.212121,2,0.883658
0.8,0.212121,3,0.0064651
0.8,0.212121,4,0.054938
0.8,0.217172,1,0.0674522
0.8,0.217172,2,0.853163
0.8,0.217172,3,0.0119336
0.8,0.217172,4,0.0674508
0.8,0.222222,1,0.0881347
0.8,0.222222,2,0.814333
0.8,0.222222,3,0.0073972
0.8,0.222222,4,0.0901351
0.8,0.227273,1,0.0756709
0.8,0.227273,2,0.832813
0.8,0.227273,3,0.0158454
0.8,0.227273,4,0.0756703
0.8,0.232323,1,0.0725536
0.8,0.232323,2,0.818219
0.8,0.232323,3,0.0366923
0.8,0.232323,4,0.0725348
0.8,0.237374,1,0.0559867
0.8,0.237374,2,0.87951
0.8,0.237374,3,0.0095325
0.8,0.237374,4,0.0549712
0.8,0.242424,1,0.03678
0.8,0.242424,2,0.911414
0.8,0.242424,3,0.0150245
0.8,0.242424,4,0.0367814
0.8,0.247475,1,0.0764671
0.8,0.247475,2,0.831525
0.8,0.247475,3,0.0155352
0.8,0.247475,4,0.0764725
0.8,0.252525,1,0.0625231
0.8,0.252525,2,0.855726
0.8,0.252525,3,0.0192257
0.8,0.252525,4,0.0625252
0.8,0.257576,1,0.0923911
0.8,0.257576,2,0.798308
0.8,0.257576,3,0.016903
0.8,0.257576,4,0.092398
0.8,0.262626,1,0.0535875
0.8,0.262626,2,0.880889
0.8,0.262626,3,0.013362
0.8,0.262626,4,0.0521615
0.8,0.267677,1,0.104011
0.8,0.267677,2,0.776924
0.8,0.267677,3,0.0150528
0.8,0.267677,4,0.104012
0.8,0.272727,1,0.088011
0.8,0.272727,2,0.809337
0.8,0.272727,3,0.0163104
0.8,0.272727,4,0.0863419
0.8,0.277778,1,0.0951636
0.8,0.277778,2,0.803924
0.8,0.277778,3,0.0055258
0.8,0.277778,4,0.0953871
0.8,0.282828,1,0.0652873
0.8,0.282828,2,0.857732
0.8,0.282828,3,0.0167007
0.8,0.282828,4,0.0602803
0.8,0.287879,1,0.0591615
0.8,0.287879,2,0.869398
0.8,0.287879,3,0.0096429
0.8,0.287879,4,0.061798
0.8,0.292929,1,0.0793988
0.8,0.292929,2,0.821811
0.8,0.292929,3,0.0204319
0.8,0.292929,4,0.0783587
0.8,0.29798,1,0.079092
0.8,0.29798,2,0.830113
0.8,0.29798,3,0.0129483
0.8,0.29798,4,0.0778472
0.8,0.30303,1,0.104276
0.8,0.30303,2,0.770843
0.8,0.30303,3,0.0206057
0.8,0.30303,4,0.104275
0.8,0.308081,1,0.0723232
0.8,0.308081,2,0.848815
0.8,0.308081,3,0.0037588
0.8,0.308081,4,0.0751027
0.8,0.313131,1,0.073868
0.8,0.313131,2,0.835586
0.8,0.313131,3,0.0166829
0.8,0.313131,4,0.0738629
0.8,0.318182,1,0.084399
0.8,0.318182,2,0.809015
0.8,0.318182,3,0.0232563
0.8,0.318182,4,0.0833301
0.8,0.323232,1,0.0640549
0.8,0.323232,2,0.852723
0.8,0.323232,3,0.0191657
0.8,0.323232,4,0.0640567
0.8,0.328283,1,0.0697532
0.8,0.328283,2,0.837718
0.8,0.328283,3,0.0207785
0.8,0.328283,4,0.0717499
0.8,0.333333,1,0.0870057
0.8,0.333333,2,0.820646
0.8,0.333333,3,0.0053406
0.8,0.333333,4,0.0870078
0.8,0.338384,1,0.057678
0.8,0.338384,2,0.872071
0.8,0.338384,3,0.0125706
0.8,0.338384,4,0.0576803
0.8,0.343434,1,0.0912458
0.8,0.343434,2,0.785264
0.8,0.343434,3,0.0322431
0.8,0.343434,4,0.0912469
0.8,0.348485,1,0.083221
0.8,0.348485,2,0.806297
0.8,0.348485,3,0.0272616
0.8,0.348485,4,0.0832204
0.8,0.353535,1,0.0890679
0.8,0.353535,2,0.798093
0.8,0.353535,3,0.0237862
0.8,0.353535,4,0.0890531
0.8,0.358586,1,0.0926764
0.8,0.358586,2,0.795969
0.8,0.358586,3,0.0186803
0.8,0.358586,4,0.0926743
0.8,0.363636,1,0.0567311
0.8,0.363636,2,0.863291
0.8,0.363636,3,0.0232632
0.8,0.363636,4,0.0567148
0.8,0.368687,1,0.0754506
0.8,0.368687,2,0.828176
0.8,0.368687,3,0.0210669
0.8,0.368687,4,0.0753061
0.8,0.373737,1,0.0928325
0.8,0.373737,2,0.791324
0.8,0.373737,3,0.0230479
0.8,0.373737,4,0.0927954
0.8,0.378788,1,0.100122
0.8,0.378788,2,0.780831
0.8,0.378788,3,0.0189361
0.8,0.378788,4,0.100111
0.8,0.383838,1,0.0894956
0.8,0.383838,2,0.807564
0.8,0.383838,3,0.013443
0.8,0.383838,4,0.0894972
0.8,0.388889,1,0.0688831
0.8,0.388889,2,0.846806
0.8,0.388889,3,0.0154307
0.8,0.388889,4,0.0688803
0.8,0.393939,1,0.0875681
0.8,0.393939,2,0.80579
0.8,0.393939,3,0.0224917
0.8,0.393939,4,0.0841503
0.8,0.39899,1,0.0857805
0.8,0.39899,2,0.798212
0.8,0.39899,3,0.0302273
0.8,0.39899,4,0.0857802
0.8,0.40404,1,0.0862189
0.8,0.40404,2,0.816813
0.8,0.40404,3,0.0107498
0.8,0.40404,4,0.0862183
0.8,0.409091,1,0.0802431
0.8,0.409091,2,0.816091
0.8,0.409091,3,0.0235065
0.8,0.409091,4,0.0801591
0.8,0.414141,1,0.0783066
0.8,0.414141,2,0.838842
0.8,0.414141,3,0.0045427
0.8,0.414141,4,0.0783091
0.8,0.419192,1,0.103231
0.8,0.419192,2,0.786612
0.8,0.419192,3,0.004932
0.8,0.419192,4,0.105225
0.8,0.424242,1,0.101685
0.8,0.424242,2,0.77762
0.8,0.424242,3,0.0190145
0.8,0.424242,4,0.101681
0.8,0.429293,1,0.0758589
0.8,0.429293,2,0.830597
0.8,0.429293,3,0.0176794
0.8,0.429293,4,0.0758642
0.8,0.434343,1,0.0899373
0.8,0.434343,2,0.810332
0.8,0.434343,3,0.0097939
0.8,0.434343,4,0.0899368
0.8,0.439394,1,0.0846133
0.8,0.439394,2,0.806599
0.8,0.439394,3,0.023174
0.8,0.439394,4,0.0856133
0.8,0.444444,1,0.0748416
0.8,0.444444,2,0.836356
0.8,0.444444,3,0.0139606
0.8,0.444444,4,0.0748414
0.8,0.449495,1,0.123913
0.8,0.449495,2,0.736813
0.8,0.449495,3,0.017028
0.8,0.449495,4,0.122246
0.8,0.454545,1,0.0875786
0.8,0.454545,2,0.805712
0.8,0.454545,3,0.018013
0.8,0.454545,4,0.0886966
0.8,0.459596,1,0.0954375
0.8,0.459596,2,0.788352
0.8,0.459596,3,0.0224401
0.8,0.459596,4,0.0937703
0.8,0.464646,1,0.0843045
0.8,0.464646,2,0.816378
0.8,0.464646,3,0.0144754
0.8,0.464646,4,0.084842
0.8,0.469697,1,0.102377
0.8,0.469697,2,0.776389
0.8,0.469697,3,0.017421
0.8,0.469697,4,0.103813
0.8,0.474747,1,0.103502
0.8,0.474747,2,0.788015
0.8,0.474747,3,0.0059795
0.8,0.474747,4,0.102503
0.8,0.479798,1,0.11562
0.8,0.479798,2,0.767326
0.8,0.479798,3,0.0014357
0.8,0.479798,4,0.115618
0.8,0.484848,1,0.112856
0.8,0.484848,2,0.733803
0.8,0.484848,3,0.0390589
0.8,0.484848,4,0.114282
0.8,0.489899,1,0.10305
0.8,0.489899,2,0.781826
0.8,0.489899,3,0.0120857
0.8,0.489899,4,0.103039
0.8,0.494949,1,0.0731509
0.8,0.494949,2,0.844111
0.8,0.494949,3,0.009589
0.8,0.494949,4,0.0731496
0.8,0.5,1,0.0953996
0.8,0.5,2,0.782764
0.8,0.5,3,0.0264377
0.8,0.5,4,0.0953989
1,0,1,0.0779601
1,0,2,0.834918
1,0,3,0.0091742
1,0,4,0.0779479
1,0.00505051,1,0.0274354
1,0.00505051,2,0.930423
1,0.00505051,3,0.0146928
1,0.00505051,4,0.0274492
1,0.010101,1,0.0580579
1,0.010101,2,0.870641
1,0.010101,3,0.0119851
1,0.010101,4,0.0593156
1,0.0151515,1,0.0359226
1,0.0151515,2,0.917873
1,0.0151515,3,0.0108957
1,0.0151515,4,0.0353088
1,0.020202,1,0.0454485
1,0.020202,2,0.903612
1,0.020202,3,0.0055162
1,0.020202,4,0.0454236
1,0.0252525,1,0.0556762
1,0.0252525,2,0.884027
1,0.0252525,3,0.0048238
1,0.0252525,4,0.0554728
1,0.030303,1,0.0510442
1,0.030303,2,0.871832
1,0.030303,3,0.0222454
1,0.030303,4,0.0548788
1,0.0353535,1,0.0562284
1,0.0353535,2,0.875887
1,0.0353535,3,0.0125458
1,0.0353535,4,0.055339
1,0.040404,1,0.0614821
1,0.040404,2,0.866919
1,0.040404,3,0.0104182
1,0.040404,4,0.0611805
1,0.0454545,1,0.0499582
1,0.0454545,2,0.898428
1,0.0454545,3,0.0017217
1,0.0454545,4,0.0498919
1,0.0505051,1,0.0702863
1,0.0505051,2,0.858533
1,0.0505051,3,0.001464
1,0.0505051,4,0.0697167
1,0.0555556,1,0.0534265
1,0.0555556,2,0.88261
1,0.0555556,3,0.0069743
1,0.0555556,4,0.0569887
1,0.0606061,1,0.0576281
1,0.0606061,2,0.879632
1,0.0606061,3,0.0076056
1,0.0606061,4,0.0551339
1,0.0656566,1,0.0787492
1,0.0656566,2,0.839856
1,0.0656566,3,0.0073487
1,0.0656566,4,0.0740466
1,0.0707071,1,0.0355907
1,0.0707071,2,0.920821
1,0.0707071,3,0.0065631
1,0.0707071,4,0.0370252
1,0.0757576,1,0.0405929
1,0.0757576,2,0.908431
1,0.0757576,3,0.011038
1,0.0757576,4,0.039938
1,0.0808081,1,0.0373942
1,0.0808081,2,0.922334
1,0.0808081,3,0.0066296
1,0.0808081,4,0.0336419
1,0.0858586,1,0.0514754
1,0.0858586,2,0.894396
1,0.0858586,3,0.0026402
1,0.0858586,4,0.0514887
1,0.0909091,1,0.0456905
1,0.0909091,2,0.897025
1,0.0909091,3,0.0115884
1,0.0909091,4,0.0456961
1,0.0959596,1,0.0352731
1,0.0959596,2,0.921971
1,0.0959596,3,0.0075101
1,0.0959596,4,0.035246
1,0.10101,1,0.0296431
1,0.10101,2,0.92809
1,0.10101,3,0.0159417
1,0.10101,4,0.0263248
1,0.106061,1,0.0408165
1,0.106061,2,0.908719
1,0.106061,3,0.0101607
1,0.106061,4,0.0403043
1,0.111111,1,0.0419871
1,0.111111,2,0.91078
1,0.111111,3,0.0052624
1,0.111111,4,0.0419703
1,0.116162,1,0.0326812
1,0.116162,2,0.919853
1,0.116162,3,0.0153617
1,0.116162,4,0.0321042
1,0.121212,1,0.0374762
1,0.121212,2,0.902639
1,0.121212,3,0.0240722
