omega,gamma,beta,action,Count
0.8,0.0890937,1.17475e-05,2,0.9278
0.8,0.0890937,1.17475e-05,3,0.0092143
0.8,0.0890937,1.17475e-05,4,0.0314524
0.8,0.0890937,1.19394e-05,1,0.0739062
0.8,0.0890937,1.19394e-05,2,0.837648
0.8,0.0890937,1.19394e-05,3,0.0145473
0.8,0.0890937,1.19394e-05,4,0.073898
0.8,0.0890937,1.21313e-05,1,0.0686041
0.8,0.0890937,1.21313e-05,2,0.860912
0.8,0.0890937,1.21313e-05,3,0.001831
0.8,0.0890937,1.21313e-05,4,0.0686532
0.8,0.0890937,1.23232e-05,1,0.0513576
0.8,0.0890937,1.23232e-05,2,0.89146
0.8,0.0890937,1.23232e-05,3,0.004713
0.8,0.0890937,1.23232e-05,4,0.0524695
0.8,0.0890937,1.25151e-05,1,0.0612876
0.8,0.0890937,1.25151e-05,2,0.857108
0.8,0.0890937,1.25151e-05,3,0.0191888
