omega,gamma,theta_1,firm,profit
0.8,0.121212,1,2,0.128093
0.8,0.121212,1.1,1,0.0947318
0.8,0.121212,1.1,2,0.124966
0.8,0.131313,0.9,1,0.101689
0.8,0.131313,0.9,2,0.134668
0.8,0.131313,1,1,0.098701
0.8,0.131313,1,2,0.128832
0.8,0.131313,1.1,1,0.0957563
0.8,0.131313,1.1,2,0.124484
0.8,0.141414,0.9,1,0.103478
0.8,0.141414,0.9,2,0.135423
0.8,0.141414,1,1,0.0988716
0.8,0.141414,1,2,0.129973
0.8,0.141414,1.1,1,0.0956235
0.8,0.141414,1.1,2,0.122735
0.8,0.151515,0.9,1,0.103915
0.8,0.151515,0.9,2,0.135147
0.8,0.151515,1,1,0.100806
0.8,0.151515,1,2,0.129297
0.8,0.151515,1.1,1,0.0950044
0.8,0.151515,1.1,2,0.123903
0.8,0.161616,0.9,1,0.104622
0.8,0.161616,0.9,2,0.135704
0.8,0.161616,1,1,0.101772
0.8,0.161616,1,2,0.127547
0.8,0.161616,1.1,1,0.0967144
0.8,0.161616,1.1,2,0.120876
0.8,0.171717,0.9,1,0.10676
0.8,0.171717,0.9,2,0.135282
0.8,0.171717,1,1,0.101955
0.8,0.171717,1,2,0.12949
0.8,0.171717,1.1,1,0.0967985
0.8,0.171717,1.1,2,0.125498
0.8,0.181818,0.9,1,0.107748
0.8,0.181818,0.9,2,0.135909
0.8,0.181818,1,1,0.103155
0.8,0.181818,1,2,0.129616
0.8,0.181818,1.1,1,0.0962878
0.8,0.181818,1.1,2,0.124196
0.8,0.191919,0.9,1,0.108905
0.8,0.191919,0.9,2,0.135966
0.8,0.191919,1,1,0.102809
0.8,0.191919,1,2,0.129447
0.8,0.191919,1.1,1,0.0955211
0.8,0.191919,1.1,2,0.123958
0.8,0.20202,0.9,1,0.108957
0.8,0.20202,0.9,2,0.138483
0.8,0.20202,1,1,0.104302
0.8,0.20202,1,2,0.129948
0.8,0.20202,1.1,1,0.0966031
0.8,0.20202,1.1,2,0.12217
0.8,0.212121,0.9,1,0.11176
0.8,0.212121,0.9,2,0.137128
0.8,0.212121,1,1,0.104419
0.8,0.212121,1,2,0.129818
0.8,0.212121,1.1,1,0.0979323
0.8,0.212121,1.1,2,0.121835
0.8,0.222222,0.9,1,0.112899
0.8,0.222222,0.9,2,0.137047
0.8,0.222222,1,1,0.104653
0.8,0.222222,1,2,0.130329
0.8,0.222222,1.1,1,0.0989828
0.8,0.222222,1.1,2,0.121048
0.8,0.232323,0.9,1,0.113559
0.8,0.232323,0.9,2,0.13795
0.8,0.232323,1,1,0.106087
0.8,0.232323,1,2,0.129576
0.8,0.232323,1.1,1,0.0990986
0.8,0.232323,1.1,2,0.120499
0.8,0.242424,0.9,1,0.115008
0.8,0.242424,0.9,2,0.13664
0.8,0.242424,1,1,0.107463
0.8,0.242424,1,2,0.128653
0.8,0.242424,1.1,1,0.0990112
0.8,0.242424,1.1,2,0.121061
0.8,0.252525,0.9,1,0.115323
0.8,0.252525,0.9,2,0.13761
0.8,0.252525,1,1,0.108409
0.8,0.252525,1,2,0.129669
0.8,0.252525,1.1,1,0.0986153
0.8,0.252525,1.1,2,0.120768
0.8,0.262626,0.9,1,0.117142
0.8,0.262626,0.9,2,0.137987
0.8,0.262626,1,1,0.109911
0.8,0.262626,1,2,0.128547
0.8,0.262626,1.1,1,0.100166
0.8,0.262626,1.1,2,0.119698
0.8,0.272727,0.9,1,0.117877
0.8,0.272727,0.9,2,0.138197
0.8,0.272727,1,1,0.109603
0.8,0.272727,1,2,0.127846
0.8,0.272727,1.1,1,0.100508
0.8,0.272727,1.1,2,0.120352
0.8,0.282828,0.9,1,0.119076
0.8,0.282828,0.9,2,0.13758
0.8,0.282828,1,1,0.10993
0.8,0.282828,1,2,0.128967
