omega,gamma,theta_1,t
0.8,0.606061,0.9,1.6637e+06
0.8,0.606061,1,1.38252e+06
0.8,0.606061,1.1,1.24934e+06
0.8,0.616162,0.9,1.70564e+06
0.8,0.616162,1,1.41575e+06
0.8,0.616162,1.1,1.30256e+06
0.8,0.626263,0.9,1.6741e+06
0.8,0.626263,1,1.42437e+06
0.8,0.626263,1.1,1.26879e+06
0.8,0.636364,0.9,1.71492e+06
0.8,0.636364,1,1.47068e+06
0.8,0.636364,1.1,1.27086e+06
0.8,0.646465,0.9,1.71073e+06
0.8,0.646465,1,1.50126e+06
0.8,0.646465,1.1,1.2875e+06
0.8,0.656566,0.9,1.79681e+06
0.8,0.656566,1,1.53677e+06
0.8,0.656566,1.1,1.31337e+06
0.8,0.666667,0.9,1.71559e+06
0.8,0.666667,1,1.52593e+06
0.8,0.666667,1.1,1.30859e+06
0.8,0.676768,0.9,1.75889e+06
0.8,0.676768,1,1.51654e+06
0.8,0.676768,1.1,1.30018e+06
0.8,0.686869,0.9,1.84091e+06
0.8,0.686869,1,1.47985e+06
0.8,0.686869,1.1,1.35984e+06
0.8,0.69697,0.9,1.72812e+06
0.8,0.69697,1,1.48401e+06
0.8,0.69697,1.1,1.38039e+06
0.8,0.707071,0.9,1.74807e+06
0.8,0.707071,1,1.51432e+06
0.8,0.707071,1.1,1.37906e+06
0.8,0.717172,0.9,1.80756e+06
0.8,0.717172,1,1.52106e+06
0.8,0.717172,1.1,1.38798e+06
0.8,0.727273,0.9,1.67787e+06
0.8,0.727273,1,1.52039e+06
0.8,0.727273,1.1,1.37438e+06
0.8,0.737374,0.9,1.89167e+06
0.8,0.737374,1,1.52972e+06
0.8,0.737374,1.1,1.36903e+06
0.8,0.747475,0.9,1.95769e+06
0.8,0.747475,1,1.56388e+06
0.8,0.747475,1.1,1.35189e+06
0.8,0.757576,0.9,2.05302e+06
0.8,0.757576,1,1.55551e+06
0.8,0.757576,1.1,1.35202e+06
0.8,0.767677,0.9,2.00356e+06
0.8,0.767677,1,1.57797e+06
0.8,0.767677,1.1,1.47609e+06
0.8,0.777778,0.9,1.88437e+06
0.8,0.777778,1,1.5942e+06
0.8,0.777778,1.1,1.41648e+06
0.8,0.787879,0.9,2.09544e+06
0.8,0.787879,1,1.61889e+06
0.8,0.787879,1.1,1.389e+06
0.8,0.79798,0.9,2.05919e+06
0.8,0.79798,1,1.65654e+06
0.8,0.79798,1.1,1.39714e+06
0.8,0.808081,0.9,2.0175e+06
0.8,0.808081,1,1.64915e+06
0.8,0.808081,1.1,1.32222e+06
0.8,0.818182,0.9,2.03573e+06
0.8,0.818182,1,1.64616e+06
0.8,0.818182,1.1,1.41287e+06
0.8,0.828283,0.9,2.12564e+06
0.8,0.828283,1,1.6479e+06
0.8,0.828283,1.1,1.41257e+06
0.8,0.838384,0.9,2.14559e+06
0.8,0.838384,1,1.61552e+06
0.8,0.838384,1.1,1.44106e+06
0.8,0.848485,0.9,2.2079e+06
0.8,0.848485,1,1.61222e+06
0.8,0.848485,1.1,1.36958e+06
0.8,0.858586,0.9,2.19744e+06
0.8,0.858586,1,1.61684e+06
0.8,0.858586,1.1,1.41102e+06
0.8,0.868687,0.9,2.33378e+06
0.8,0.868687,1,1.65027e+06
0.8,0.868687,1.1,1.42096e+06
0.8,0.878788,0.9,2.3965e+06
0.8,0.878788,1,1.65941e+06
0.8,0.878788,1.1,1.4401e+06
0.8,0.888889,0.9,2.34501e+06
0.8,0.888889,1,1.67467e+06
0.8,0.888889,1.1,1.43067e+06
0.8,0.89899,0.9,2.41116e+06
0.8,0.89899,1,1.72388e+06
0.8,0.89899,1.1,1.45788e+06
0.8,0.909091,0.9,2.44394e+06
0.8,0.909091,1,1.72566e+06
0.8,0.909091,1.1,1.46629e+06
0.8,0.919192,0.9,2.32834e+06
0.8,0.919192,1,1.76745e+06
0.8,0.919192,1.1,1.50362e+06
0.8,0.929293,0.9,2.38873e+06
0.8,0.929293,1,1.74932e+06
0.8,0.929293,1.1,1.45139e+06
0.8,0.939394,0.9,2.58183e+06
0.8,0.939394,1,1.72009e+06
0.8,0.939394,1.1,1.47797e+06
0.8,0.949495,0.9,2.52746e+06
0.8,0.949495,1,1.74442e+06
0.8,0.949495,1.1,1.5317e+06
0.8,0.959596,0.9,2.55726e+06
0.8,0.959596,1,1.75477e+06
0.8,0.959596,1.1,1.4389e+06
0.8,0.969697,0.9,2.59647e+06
0.8,0.969697,1,1.8226e+06
0.8,0.969697,1.1,1.45005e+06
0.8,0.979798,0.9,2.702e+06
0.8,0.979798,1,1.7261e+06
0.8,0.979798,1.1,1.47169e+06
0.8,0.989899,0.9,2.72234e+06
0.8,0.989899,1,1.72717e+06
0.8,0.989899,1.1,1.46997e+06
0.8,1,0.9,2.75066e+06
0.8,1,1,1.84877e+06
0.8,1,1.1,1.47682e+06
1,0,0.9,1.81125e+06
1,0,1,1.88259e+06
1,0,1.1,1.81271e+06
1,0.010101,0.9,1.79116e+06
1,0.010101,1,1.78065e+06
1,0.010101,1.1,1.85697e+06
1,0.020202,0.9,1.73468e+06
1,0.020202,1,1.76795e+06
1,0.020202,1.1,1.80832e+06
1,0.030303,0.9,1.94669e+06
1,0.030303,1,1.7444e+06
1,0.030303,1.1,1.7767e+06
