omega,gamma,theta_1,firm,price
0.8,0.111111,0.9,2,1.67925
0.8,0.111111,1,1,1.64947
0.8,0.111111,1,2,1.66032
0.8,0.111111,1.1,1,1.63665
0.8,0.111111,1.1,2,1.67714
0.8,0.121212,0.9,1,1.68991
0.8,0.121212,0.9,2,1.68127
0.8,0.121212,1,1,1.64571
0.8,0.121212,1,2,1.68058
0.8,0.121212,1.1,1,1.627
0.8,0.121212,1.1,2,1.67347
0.8,0.131313,0.9,1,1.67899
0.8,0.131313,0.9,2,1.68992
0.8,0.131313,1,1,1.6525
0.8,0.131313,1,2,1.67695
0.8,0.131313,1.1,1,1.63379
0.8,0.131313,1.1,2,1.67556
0.8,0.141414,0.9,1,1.68922
0.8,0.141414,0.9,2,1.69478
0.8,0.141414,1,1,1.65525
0.8,0.141414,1,2,1.68195
0.8,0.141414,1.1,1,1.61321
0.8,0.141414,1.1,2,1.67346
0.8,0.151515,0.9,1,1.68513
0.8,0.151515,0.9,2,1.68859
0.8,0.151515,1,1,1.65072
0.8,0.151515,1,2,1.69032
0.8,0.151515,1.1,1,1.64124
0.8,0.151515,1.1,2,1.67547
0.8,0.161616,0.9,1,1.68783
0.8,0.161616,0.9,2,1.69493
0.8,0.161616,1,1,1.64658
0.8,0.161616,1,2,1.68515
0.8,0.161616,1.1,1,1.63358
0.8,0.161616,1.1,2,1.67646
0.8,0.171717,0.9,1,1.69521
0.8,0.171717,0.9,2,1.70212
0.8,0.171717,1,1,1.6606
0.8,0.171717,1,2,1.6802
0.8,0.171717,1.1,1,1.64557
0.8,0.171717,1.1,2,1.66874
0.8,0.181818,0.9,1,1.70148
0.8,0.181818,0.9,2,1.69845
0.8,0.181818,1,1,1.67645
0.8,0.181818,1,2,1.67488
0.8,0.181818,1.1,1,1.63762
0.8,0.181818,1.1,2,1.67893
0.8,0.191919,0.9,1,1.71214
0.8,0.191919,0.9,2,1.68915
0.8,0.191919,1,1,1.66105
0.8,0.191919,1,2,1.69671
0.8,0.191919,1.1,1,1.63095
0.8,0.191919,1.1,2,1.68474
0.8,0.20202,0.9,1,1.70453
0.8,0.20202,0.9,2,1.69721
0.8,0.20202,1,1,1.67204
0.8,0.20202,1,2,1.69046
0.8,0.20202,1.1,1,1.63343
0.8,0.20202,1.1,2,1.67642
0.8,0.212121,0.9,1,1.70868
0.8,0.212121,0.9,2,1.69632
0.8,0.212121,1,1,1.66027
0.8,0.212121,1,2,1.68827
0.8,0.212121,1.1,1,1.63644
0.8,0.212121,1.1,2,1.67541
0.8,0.222222,0.9,1,1.71273
0.8,0.222222,0.9,2,1.69705
0.8,0.222222,1,1,1.68206
0.8,0.222222,1,2,1.67446
0.8,0.222222,1.1,1,1.63478
0.8,0.222222,1.1,2,1.6743
0.8,0.232323,0.9,1,1.71996
0.8,0.232323,0.9,2,1.69864
0.8,0.232323,1,1,1.68397
0.8,0.232323,1,2,1.6944
0.8,0.232323,1.1,1,1.63639
0.8,0.232323,1.1,2,1.68175
0.8,0.242424,0.9,1,1.72569
0.8,0.242424,0.9,2,1.69732
0.8,0.242424,1,1,1.67706
0.8,0.242424,1,2,1.6896
0.8,0.242424,1.1,1,1.62731
0.8,0.242424,1.1,2,1.67409
0.8,0.252525,0.9,1,1.70582
0.8,0.252525,0.9,2,1.70536
0.8,0.252525,1,1,1.68852
0.8,0.252525,1,2,1.69315
0.8,0.252525,1.1,1,1.64496
0.8,0.252525,1.1,2,1.68464
0.8,0.262626,0.9,1,1.72405
0.8,0.262626,0.9,2,1.70579
0.8,0.262626,1,1,1.66261
0.8,0.262626,1,2,1.69519
0.8,0.262626,1.1,1,1.6338
0.8,0.262626,1.1,2,1.6749
0.8,0.272727,0.9,1,1.70693
0.8,0.272727,0.9,2,1.70189
0.8,0.272727,1,1,1.68336
0.8,0.272727,1,2,1.7012
0.8,0.272727,1.1,1,1.63718
0.8,0.272727,1.1,2,1.67828
0.8,0.282828,0.9,1,1.73991
0.8,0.282828,0.9,2,1.68957
0.8,0.282828,1,1,1.67575
0.8,0.282828,1,2,1.69615
0.8,0.282828,1.1,1,1.63716
0.8,0.282828,1.1,2,1.68452
0.8,0.292929,0.9,1,1.73439
0.8,0.292929,0.9,2,1.70197
0.8,0.292929,1,1,1.68019
0.8,0.292929,1,2,1.67693
0.8,0.292929,1.1,1,1.64289
0.8,0.292929,1.1,2,1.67717
0.8,0.30303,0.9,1,1.74096
