omega,alpha,beta,action,Count
0,0.0527027,8.51351e-06,2,0.762942
0,0.0527027,8.51351e-06,3,0.0111548
0,0.0527027,8.51351e-06,4,0.112964
0,0.0527027,8.64865e-06,1,0.0894093
0,0.0527027,8.64865e-06,2,0.809354
0,0.0527027,8.64865e-06,3,0.0107065
0,0.0527027,8.64865e-06,4,0.0905303
0,0.0527027,8.78378e-06,1,0.101664
0,0.0527027,8.78378e-06,2,0.772218
0,0.0527027,8.78378e-06,3,0.0233081
0,0.0527027,8.78378e-06,4,0.10281
0,0.0527027,8.91892e-06,1,0.105489
0,0.0527027,8.91892e-06,2,0.752721
0,0.0527027,8.91892e-06,3,0.0366334
0,0.0527027,8.91892e-06,4,0.105156
0,0.0527027,9.05405e-06,1,0.074392
0,0.0527027,9.05405e-06,2,0.829854
0,0.0527027,9.05405e-06,3,0.0214434
0,0.0527027,9.05405e-06,4,0.0743111
0,0.0527027,9.18919e-06,1,0.106562
0,0.0527027,9.18919e-06,2,0.761232
0,0.0527027,9.18919e-06,3,0.0255999
0,0.0527027,9.18919e-06,4,0.106607
0,0.0527027,9.32432e-06,1,0.0822616
0,0.0527027,9.32432e-06,2,0.816957
0,0.0527027,9.32432e-06,3,0.018484
0,0.0527027,9.32432e-06,4,0.0822972
0,0.0527027,9.45946e-06,1,0.08304
0,0.0527027,9.45946e-06,2,0.816616
0,0.0527027,9.45946e-06,3,0.0173106
0,0.0527027,9.45946e-06,4,0.0830334
0,0.0527027,9.59459e-06,1,0.108526
0,0.0527027,9.59459e-06,2,0.74869
0,0.0527027,9.59459e-06,3,0.0343171
0,0.0527027,9.59459e-06,4,0.108467
0,0.0527027,9.72973e-06,1,0.0890042
0,0.0527027,9.72973e-06,2,0.807235
0,0.0527027,9.72973e-06,3,0.0163095
0,0.0527027,9.72973e-06,4,0.0874508
0,0.0527027,9.86486e-06,1,0.0765133
0,0.0527027,9.86486e-06,2,0.835593
0,0.0527027,9.86486e-06,3,0.0113016
0,0.0527027,9.86486e-06,4,0.0765925
0,0.0527027,1e-05,1,0.0824906
0,0.0527027,1e-05,2,0.822671
0,0.0527027,1e-05,3,0.0123581
0,0.0527027,1e-05,4,0.0824798
0,0.0527027,1.01351e-05,1,0.0834778
0,0.0527027,1.01351e-05,2,0.797182
0,0.0527027,1.01351e-05,3,0.0359331
0,0.0527027,1.01351e-05,4,0.0834067
0,0.0527027,1.02703e-05,1,0.100079
0,0.0527027,1.02703e-05,2,0.772286
0,0.0527027,1.02703e-05,3,0.0276447
0,0.0527027,1.02703e-05,4,0.0999905
0,0.0527027,1.04054e-05,1,0.115379
0,0.0527027,1.04054e-05,2,0.761371
0,0.0527027,1.04054e-05,3,0.0064368
0,0.0527027,1.04054e-05,4,0.116813
0,0.0527027,1.05405e-05,1,0.0884499
0,0.0527027,1.05405e-05,2,0.810962
0,0.0527027,1.05405e-05,3,0.0120606
0,0.0527027,1.05405e-05,4,0.0885278
0,0.0527027,1.06757e-05,1,0.0807103
0,0.0527027,1.06757e-05,2,0.814893
0,0.0527027,1.06757e-05,3,0.0233501
0,0.0527027,1.06757e-05,4,0.0810466
0,0.0527027,1.08108e-05,1,0.122009
0,0.0527027,1.08108e-05,2,0.715778
0,0.0527027,1.08108e-05,3,0.0396738
0,0.0527027,1.08108e-05,4,0.122539
0,0.0527027,1.09459e-05,1,0.0854937
0,0.0527027,1.09459e-05,2,0.802197
0,0.0527027,1.09459e-05,3,0.0268354
0,0.0527027,1.09459e-05,4,0.0854742
0,0.0527027,1.10811e-05,1,0.08789
0,0.0527027,1.10811e-05,2,0.805595
0,0.0527027,1.10811e-05,3,0.0187805
0,0.0527027,1.10811e-05,4,0.0877343
0,0.0527027,1.12162e-05,1,0.0856664
0,0.0527027,1.12162e-05,2,0.819236
0,0.0527027,1.12162e-05,3,0.009046
0,0.0527027,1.12162e-05,4,0.0860513
0,0.0527027,1.13514e-05,1,0.0982345
0,0.0527027,1.13514e-05,2,0.790683
0,0.0527027,1.13514e-05,3,0.0128533
0,0.0527027,1.13514e-05,4,0.0982292
